time,open,high,low,close,volume,symbol,close_norm,return_1d,return_5d,macd,rsi,adx,volume_norm
2014-10-03,2.29,2.31,2.28,2.28,951560.0,MBB,0.8301286387444606,-0.004366812227074357,0.0,-0.008550079705695733,0.5,20.891506977971517,-0.2746772727879828
2014-10-06,2.29,2.33,2.28,2.31,1210030.0,MBB,1.7628832959591079,0.013157894736842257,0.02212389380530988,0.052813080265156596,0.5789473684210531,20.310355397535204,0.13437968632141073
2014-10-07,2.31,2.33,2.29,2.29,244930.0,MBB,1.0806730842963972,-0.008658008658008698,0.004385964912280826,0.044513486350341594,0.5,19.770714644272914,-1.354743979658925
2014-10-08,2.29,2.31,2.28,2.29,850870.0,MBB,1.0543222696283898,0.0,0.004385964912280826,0.035281317246023514,0.5263157894736848,18.611421288565992,-0.4382505982916329
2014-10-09,2.31,2.31,2.28,2.29,506090.0,MBB,1.0354470230940667,0.0,0.0,0.0259541630539605,0.5882352941176479,17.53493460112385,-0.9519985956609137
2014-10-10,2.29,2.29,2.28,2.29,390090.0,MBB,1.0170413114010697,0.0,0.004385964912280826,0.016993073475960938,0.6666666666666657,16.53533981992758,-1.2256249300912245
2014-10-13,2.33,2.36,2.31,2.34,3493510.0,MBB,2.423101278925017,0.02183406113537112,0.01298701298701288,0.10398204201145925,0.7222222222222218,18.478452232697165,3.859997022336072
2014-10-14,2.36,2.36,2.31,2.31,709110.0,MBB,1.4766344949870551,-0.012820512820512775,0.008733624454148492,0.09254721377778616,0.5789473684210531,20.282770901697496,-0.6052695223253883
2014-10-15,2.31,2.34,2.31,2.34,1238560.0,MBB,2.21970840486786,0.01298701298701288,0.02183406113537112,0.1300203102176333,0.6363636363636364,21.958209665769232,0.24025954455261858
2014-10-16,2.33,2.33,2.29,2.33,1622410.0,MBB,1.8450941491572685,-0.004273504273504147,0.017467248908296984,0.12544231290339736,0.6086956521739136,22.18479366677949,0.8277310507023325
2014-10-17,2.31,2.34,2.28,2.34,1417160.0,MBB,2.008933152491481,0.0042918454935620964,0.02183406113537112,0.1283946597779292,0.6818181818181821,21.812739651750057,0.4973193815631905
2014-10-20,2.33,2.34,2.31,2.31,669830.0,MBB,1.1749913426805354,-0.012820512820512775,-0.012820512820512775,0.07229714519770025,0.5652173913043484,21.467260923508437,-0.6931012983923667
2014-10-21,2.33,2.34,2.31,2.33,687720.0,MBB,1.6276146206131654,0.008658008658008587,0.008658008658008587,0.06331949207068878,0.6000000000000008,21.146459247284078,-0.6577257645022985
2014-10-22,2.34,2.36,2.33,2.33,1330620.0,MBB,1.571298991319761,0.0,-0.004273504273504147,0.05209211176783355,0.5833333333333337,21.678780253209613,0.37706525206055985
2014-10-23,2.33,2.34,2.31,2.31,950980.0,MBB,1.0271333429795642,-0.008583690987124526,-0.008583690987124526,0.006713338618265271,0.5600000000000007,20.969651677272463,-0.21856017575870493
2014-10-24,2.31,2.33,2.31,2.33,684000.0,MBB,1.5125285044156045,0.008658008658008587,-0.004273504273504147,0.00760288874823427,0.541666666666667,20.311175142473683,-0.6464097956264648
2014-10-27,2.31,2.33,2.29,2.33,880090.0,MBB,1.467402024325932,0.0,0.008658008658008587,0.004473473365376868,0.5909090909090914,19.073884653966406,-0.34422572151692027
2014-10-28,2.31,2.33,2.31,2.33,965920.0,MBB,1.4442008459919606,0.0,0.0,-0.0010347583651183268,0.5909090909090914,17.924972057495363,-0.21386934087519785
2014-10-29,2.38,2.38,2.31,2.36,693260.0,MBB,2.200612486960314,0.012875536480686511,0.012875536480686511,0.04463957728757777,0.6400000000000005,18.466165951573146,-0.6623009756463146
2014-10-30,2.36,2.36,2.31,2.31,1607720.0,MBB,0.8001188613997298,-0.021186440677966045,0.0,-0.020352130149530395,0.5333333333333337,18.968703138931083,0.796932385022191
2014-10-31,2.31,2.34,2.29,2.34,1745330.0,MBB,1.5921958796887974,0.01298701298701288,0.0042918454935620964,-0.010796643329836066,0.5,18.415752914633078,0.9984490720214059
2014-11-03,2.34,2.34,2.33,2.33,567520.0,MBB,1.2676751279177148,-0.004273504273504147,0.0,-0.02546846654871153,0.5384615384615387,17.902299134927787,-0.9103002384801334
2014-11-04,2.33,2.33,2.31,2.33,157210.0,MBB,1.230240696402006,0.0,0.0,-0.03704001272857734,0.4782608695652177,16.747468803826685,-1.5346593864442557
2014-11-05,2.33,2.33,2.29,2.31,382670.0,MBB,0.638987333989542,-0.008583690987124526,-0.021186440677966045,-0.08264278366278607,0.4583333333333331,16.45778747742845,-1.145752339918773
2014-11-06,2.31,2.33,2.29,2.31,282990.0,MBB,0.613554601940862,0.0,0.0,-0.11127844654766385,0.4347826086956524,16.188797674344375,-1.2715197778068101
2014-11-07,2.31,2.34,2.29,2.33,771530.0,MBB,1.1610754559439176,0.008658008658008587,-0.004273504273504147,-0.08996639607358724,0.5454545454545456,15.450150285998127,-0.5018673032308574
2014-11-10,2.34,2.34,2.31,2.31,593510.0,MBB,0.5480066519613941,-0.008583690987124526,-0.008583690987124526,-0.11315070852446979,0.4545454545454543,14.764263425390897,-0.7513249643550801
2014-11-11,2.33,2.33,2.31,2.33,448120.0,MBB,1.1173689928786847,0.008658008658008587,0.0,-0.08693742348783491,0.5,14.12736848339847,-0.9606657370427808
2014-11-12,2.33,2.34,2.31,2.33,655920.0,MBB,1.0911883098311421,0.0,0.008658008658008587,-0.06859868773306513,0.5454545454545456,13.233644516492506,-0.6264592694483088
2014-11-13,2.33,2.33,2.31,2.33,254930.0,MBB,1.0674437107897978,0.0,0.008658008658008587,-0.056118884483284254,0.5,12.40375797579411,-1.2030650561060419
2014-11-14,2.33,2.33,2.31,2.33,924730.0,MBB,1.0398054793388825,0.0,0.0,-0.047439338225942825,0.5,11.633149045145599,-0.1782898039678846
2014-11-17,2.33,2.34,2.31,2.33,1190880.0,MBB,1.0210728846174644,0.0,0.008658008658008587,-0.042556330898858505,0.5,11.486345600148342,0.23105921148928854
2014-11-18,2.33,2.33,2.31,2.31,556570.0,MBB,0.3157326541333301,-0.008583690987124526,-0.008583690987124526,-0.08460888441832468,0.3684210526315791,11.35002811550803,-0.7284283370971885
2014-11-19,2.31,2.33,2.29,2.29,890200.0,MBB,-0.41023122522211986,-0.008658008658008698,-0.01716738197424894,-0.15503679321266126,0.43749999999999983,11.092284808812046,-0.20284294785947404
2014-11-20,2.31,2.31,2.27,2.27,1298520.0,MBB,-1.138642158636547,-0.008733624454148492,-0.025751072961373467,-0.23940205082848462,0.26666666666666716,11.811490708001362,0.428257789387031
2014-11-21,2.27,2.29,2.26,2.27,1829610.0,MBB,-1.1940353516119933,0.0,-0.025751072961373467,-0.28930489302098616,0.2857142857142857,12.888350039838258,1.2098219604043874
2014-11-24,2.26,2.27,2.24,2.24,823180.0,MBB,-2.2414732231123033,-0.013215859030836885,-0.03862660944205998,-0.3635721860690818,0.23529411764705926,14.594758677933411,-0.3165628647265213
2014-11-25,2.26,2.27,2.24,2.26,616160.0,MBB,-1.498213366627043,0.008928571428571175,-0.0216450216450218,-0.3460461685071683,0.352941176470587,16.179280984736053,-0.6059740422549692
2014-11-26,2.26,2.27,2.24,2.24,796700.0,MBB,-2.0937018259877083,-0.008849557522123686,-0.02183406113537112,-0.35100033428594357,0.3157894736842101,17.650623126767076,-0.29778992759109074
2014-11-27,2.24,2.26,2.22,2.22,457370.0,MBB,-2.576880322215648,-0.008928571428571397,-0.022026431718061623,-0.36343779338671095,0.21052631578947256,19.66958375041993,-0.817606864465012
2014-11-28,2.26,2.26,2.22,2.26,359060.0,MBB,-1.2273117781755198,0.018018018018017834,-0.00440528634361248,-0.27572241346181803,0.3809523809523796,21.544332900954718,-0.948137680199386
2014-12-01,2.24,2.26,2.24,2.24,327030.0,MBB,-1.7953607284481732,-0.008849557522123686,0.0,-0.24034761704101804,0.28571428571428414,23.28517139787988,-0.9666707703813124
2014-12-02,2.24,2.26,2.22,2.24,349130.0,MBB,-1.7574882015099003,0.0,-0.008849557522123686,-0.2036519266804016,0.28571428571428414,25.492412591236018,-0.9752915751505056
2014-12-03,2.26,2.29,2.24,2.27,593850.0,MBB,-0.8150822139350874,0.013392857142856984,0.013392857142856984,-0.10856858891627094,0.3749999999999988,25.3603588946993,-0.5097643410215932
2014-12-04,2.27,2.38,2.26,2.34,2000810.0,MBB,1.2937114491508754,0.03083700440528636,0.054054054054053946,0.09621029903883213,0.5161290322580643,25.306534483260375,1.9933476093512548
2014-12-05,2.36,2.36,2.31,2.34,720610.0,MBB,1.2517317307989464,0.0,0.03539823008849563,0.21950142935848505,0.5161290322580643,25.256554672638522,-0.29194072108830327
2014-12-08,2.33,2.33,2.29,2.31,558640.0,MBB,0.3396432740628159,-0.012820512820512775,0.03125,0.2324693231132256,0.5,24.396788137649324,-0.5782187080907712
