time,open,high,low,close,volume,symbol
2014-07-02,2.37,2.37,2.35,2.37,114809,ACB
2014-07-03,2.37,2.38,2.35,2.38,309194,ACB
2014-07-04,2.38,2.38,2.37,2.37,117744,ACB
2014-07-07,2.38,2.38,2.34,2.37,176864,ACB
2014-07-08,2.37,2.38,2.35,2.37,203651,ACB
2014-07-09,2.37,2.38,2.35,2.37,62959,ACB
2014-07-10,2.37,2.37,2.35,2.35,99422,ACB
2014-07-11,2.35,2.37,2.34,2.35,69344,ACB
2014-07-14,2.37,2.37,2.35,2.35,153409,ACB
2014-07-15,2.35,2.37,2.35,2.37,70911,ACB
2014-07-16,2.37,2.37,2.35,2.37,121013,ACB
2014-07-17,2.37,2.37,2.35,2.37,9745,ACB
2014-07-18,2.37,2.37,2.35,2.37,105955,ACB
2014-07-21,2.37,2.37,2.35,2.35,59866,ACB
2014-07-22,2.35,2.37,2.34,2.35,221300,ACB
2014-07-23,2.35,2.37,2.35,2.35,46739,ACB
2014-07-24,2.35,2.37,2.35,2.35,57626,ACB
2014-07-25,2.35,2.37,2.34,2.34,103276,ACB
2014-07-28,2.35,2.37,2.34,2.34,110575,ACB
2014-07-29,2.35,2.35,2.34,2.35,94417,ACB
2014-07-30,2.35,2.35,2.34,2.35,9200,ACB
2014-07-31,2.34,2.35,2.34,2.35,110496,ACB
2014-08-01,2.37,2.37,2.34,2.35,31342,ACB
2014-08-04,2.34,2.35,2.34,2.35,57942,ACB
2014-08-05,2.35,2.35,2.34,2.35,57440,ACB
2014-08-06,2.34,2.35,2.34,2.35,16289,ACB
2014-08-07,2.35,2.35,2.34,2.35,23813,ACB
2014-08-08,2.34,2.35,2.34,2.35,196920,ACB
2014-08-11,2.35,2.35,2.34,2.34,18760,ACB
2014-08-12,2.34,2.37,2.32,2.34,87590,ACB
2014-08-13,2.32,2.35,2.32,2.34,191267,ACB
2014-08-14,2.34,2.34,2.32,2.32,196466,ACB
2014-08-15,2.34,2.35,2.34,2.34,101634,ACB
2014-08-18,2.32,2.35,2.32,2.35,82396,ACB
2014-08-19,2.34,2.35,2.32,2.34,4699,ACB
2014-08-20,2.34,2.35,2.34,2.34,68812,ACB
2014-08-21,2.34,2.35,2.34,2.34,89719,ACB
2014-08-22,2.34,2.35,2.32,2.34,19040,ACB
2014-08-25,2.34,2.37,2.34,2.35,136857,ACB
2014-08-26,2.35,2.37,2.35,2.35,142374,ACB
2014-08-27,2.35,2.35,2.34,2.34,108998,ACB
2014-08-28,2.34,2.35,2.34,2.34,44649,ACB
2014-08-29,2.34,2.37,2.34,2.37,110337,ACB
2014-09-03,2.37,2.38,2.35,2.35,96011,ACB
2014-09-04,2.35,2.35,2.32,2.35,67273,ACB
2014-09-05,2.37,2.37,2.34,2.35,101597,ACB
2014-09-08,2.35,2.37,2.32,2.34,249330,ACB
2014-09-09,2.34,2.34,2.32,2.32,266103,ACB
2014-09-10,2.32,2.35,2.32,2.34,88860,ACB
2014-09-11,2.34,2.35,2.32,2.34,69739,ACB
2014-09-12,2.35,2.35,2.32,2.32,110947,ACB
2014-09-15,2.34,2.34,2.32,2.32,97427,ACB
2014-09-16,2.34,2.34,2.32,2.34,106825,ACB
2014-09-17,2.34,2.37,2.32,2.35,295941,ACB
2014-09-18,2.35,2.37,2.32,2.32,83962,ACB
2014-09-19,2.32,2.34,2.32,2.32,605822,ACB
2014-09-22,2.34,2.34,2.31,2.32,673629,ACB
2014-09-23,2.32,2.34,2.31,2.32,155655,ACB
2014-09-24,2.32,2.32,2.31,2.32,237318,ACB
2014-09-25,2.32,2.34,2.31,2.32,374033,ACB
2014-09-26,2.34,2.34,2.32,2.32,193181,ACB
2014-09-29,2.32,2.34,2.31,2.32,293109,ACB
2014-09-30,2.32,2.34,2.31,2.32,79932,ACB
2014-10-01,2.32,2.32,2.31,2.32,341868,ACB
2014-10-02,2.32,2.34,2.31,2.32,235725,ACB
2014-10-03,2.32,2.32,2.31,2.31,317254,ACB
2014-10-06,2.32,2.32,2.31,2.31,495107,ACB
2014-10-07,2.29,2.31,2.29,2.31,110487,ACB
2014-10-08,2.31,2.31,2.29,2.31,188392,ACB
2014-10-09,2.32,2.32,2.29,2.31,170800,ACB
2014-10-10,2.31,2.32,2.29,2.31,776490,ACB
2014-10-13,2.29,2.32,2.28,2.31,312707,ACB
2014-10-14,2.29,2.32,2.29,2.31,231600,ACB
2014-10-15,2.31,2.31,2.29,2.31,419645,ACB
2014-10-16,2.29,2.32,2.28,2.31,353992,ACB
2014-10-17,2.29,2.32,2.29,2.32,210289,ACB
2014-10-20,2.32,2.32,2.31,2.31,108468,ACB
2014-10-21,2.29,2.32,2.29,2.31,289064,ACB
2014-10-22,2.31,2.32,2.31,2.31,31795,ACB
2014-10-23,2.32,2.34,2.31,2.32,161552,ACB
2014-10-24,2.31,2.32,2.31,2.31,52162,ACB
2014-10-27,2.31,2.32,2.29,2.31,217065,ACB
2014-10-28,2.26,2.31,2.26,2.31,251163,ACB
2014-10-29,2.29,2.32,2.29,2.32,106491,ACB
2014-10-30,2.32,2.34,2.31,2.34,62070,ACB
2014-10-31,2.31,2.34,2.31,2.34,24038,ACB
2014-11-03,2.34,2.34,2.32,2.34,100354,ACB
2014-11-04,2.32,2.34,2.31,2.34,46793,ACB
2014-11-05,2.32,2.34,2.31,2.31,211312,ACB
2014-11-06,2.32,2.38,2.32,2.38,607153,ACB
2014-11-07,2.4,2.4,2.37,2.38,108912,ACB
2014-11-10,2.38,2.4,2.35,2.35,23052,ACB
2014-11-11,2.35,2.45,2.35,2.4,137791,ACB
2014-11-12,2.4,2.52,2.37,2.45,341874,ACB
2014-11-13,2.45,2.46,2.42,2.45,142342,ACB
2014-11-14,2.42,2.43,2.4,2.4,64189,ACB
2014-11-17,2.4,2.42,2.38,2.42,377610,ACB
2014-11-18,2.42,2.43,2.38,2.4,145431,ACB
2014-11-19,2.4,2.42,2.38,2.38,143255,ACB
2014-11-20,2.4,2.4,2.37,2.38,33683,ACB
2014-11-21,2.4,2.4,2.35,2.35,22641,ACB
2014-11-24,2.35,2.35,2.34,2.34,175773,ACB
2014-11-25,2.37,2.38,2.34,2.35,128283,ACB
2014-11-26,2.37,2.37,2.32,2.32,68795,ACB
2014-11-27,2.35,2.37,2.34,2.35,23569,ACB
2014-11-28,2.37,2.37,2.32,2.32,108071,ACB
2014-12-01,2.35,2.35,2.32,2.32,245301,ACB
2014-12-02,2.31,2.32,2.31,2.31,78471,ACB
2014-12-03,2.34,2.38,2.32,2.32,171643,ACB
2014-12-04,2.32,2.42,2.31,2.38,202567,ACB
2014-12-05,2.38,2.42,2.37,2.38,212038,ACB
2014-12-08,2.38,2.38,2.34,2.38,60200,ACB
2014-12-09,2.37,2.38,2.34,2.34,119810,ACB
2014-12-10,2.34,2.35,2.34,2.35,129215,ACB
2014-12-11,2.34,2.38,2.34,2.37,65131,ACB
2014-12-12,2.37,2.38,2.37,2.37,50253,ACB
2014-12-15,2.37,2.38,2.37,2.37,108333,ACB
2014-12-16,2.34,2.37,2.34,2.35,397979,ACB
2014-12-17,2.34,2.35,2.31,2.34,275334,ACB
2014-12-18,2.34,2.35,2.34,2.35,63994,ACB
2014-12-19,2.35,2.37,2.34,2.35,140100,ACB
2014-12-22,2.35,2.35,2.34,2.34,43600,ACB
2014-12-23,2.34,2.37,2.34,2.37,92526,ACB
2014-12-24,2.37,2.38,2.35,2.37,181309,ACB
2014-12-25,2.37,2.37,2.35,2.35,68821,ACB
2014-12-26,2.34,2.35,2.34,2.35,47517,ACB
2014-12-29,2.35,2.35,2.34,2.34,105923,ACB
2014-12-30,2.34,2.35,2.31,2.34,178030,ACB
2014-12-31,2.34,2.35,2.34,2.35,39354,ACB
2015-01-05,2.35,2.35,2.32,2.34,55888,ACB
2015-01-06,2.32,2.37,2.31,2.37,89802,ACB
2015-01-07,2.37,2.45,2.37,2.4,232861,ACB
2015-01-08,2.4,2.42,2.38,2.42,14880,ACB
2015-01-09,2.42,2.49,2.38,2.43,693623,ACB
2015-01-12,2.45,2.51,2.43,2.46,368334,ACB
2015-01-13,2.46,2.55,2.46,2.52,416006,ACB
2015-01-14,2.52,2.52,2.46,2.48,300420,ACB
2015-01-15,2.46,2.48,2.43,2.43,244964,ACB
2015-01-16,2.45,2.46,2.4,2.43,374204,ACB
2015-01-19,2.46,2.48,2.45,2.46,230317,ACB
2015-01-20,2.45,2.46,2.42,2.45,75172,ACB
2015-01-21,2.45,2.46,2.42,2.43,205371,ACB
2015-01-22,2.43,2.49,2.42,2.49,300965,ACB
2015-01-23,2.48,2.63,2.48,2.61,1441874,ACB
2015-01-26,2.61,2.64,2.61,2.63,307006,ACB
2015-01-27,2.64,2.66,2.52,2.63,315651,ACB
2015-01-28,2.61,2.78,2.58,2.75,959871,ACB
2015-01-29,2.75,2.77,2.71,2.71,429009,ACB
2015-01-30,2.69,2.69,2.58,2.63,478259,ACB
2015-02-02,2.61,2.64,2.57,2.57,265344,ACB
2015-02-03,2.57,2.58,2.43,2.43,827865,ACB
2015-02-04,2.42,2.46,2.38,2.46,270500,ACB
2015-02-05,2.46,2.51,2.46,2.46,74461,ACB
2015-02-06,2.46,2.51,2.28,2.51,245283,ACB
2015-02-09,2.51,2.54,2.46,2.46,72974,ACB
2015-02-10,2.45,2.51,2.45,2.48,105679,ACB
2015-02-11,2.48,2.52,2.48,2.51,90914,ACB
2015-02-12,2.51,2.52,2.49,2.51,87911,ACB
2015-02-13,2.52,2.61,2.52,2.57,650359,ACB
2015-02-24,2.58,2.64,2.58,2.61,140871,ACB
2015-02-25,2.63,2.71,2.61,2.64,672279,ACB
2015-02-26,2.64,2.66,2.6,2.64,112327,ACB
2015-02-27,2.66,2.66,2.6,2.6,64375,ACB
2015-03-02,2.63,2.63,2.58,2.6,100838,ACB
2015-03-03,2.63,2.63,2.58,2.58,603931,ACB
2015-03-04,2.6,2.6,2.57,2.58,412425,ACB
2015-03-05,2.58,2.6,2.57,2.57,159152,ACB
2015-03-06,2.57,2.61,2.55,2.6,322073,ACB
2015-03-09,2.6,2.61,2.57,2.58,159821,ACB
2015-03-10,2.58,2.6,2.57,2.6,96698,ACB
2015-03-11,2.6,2.64,2.6,2.61,561767,ACB
2015-03-12,2.58,2.61,2.54,2.6,47908,ACB
2015-03-13,2.6,2.61,2.58,2.58,162894,ACB
2015-03-16,2.6,2.6,2.57,2.58,340462,ACB
2015-03-17,2.58,2.6,2.58,2.58,118588,ACB
2015-03-18,2.34,2.6,2.34,2.58,259352,ACB
2015-03-19,2.6,2.75,2.58,2.58,129073,ACB
2015-03-20,2.58,2.61,2.58,2.61,116347,ACB
2015-03-23,2.6,2.6,2.58,2.58,57431,ACB
2015-03-24,2.58,2.58,2.55,2.57,222685,ACB
2015-03-25,2.57,2.6,2.57,2.6,122734,ACB
2015-03-26,2.6,2.61,2.58,2.6,165791,ACB
2015-03-27,2.6,2.6,2.57,2.57,150742,ACB
2015-03-30,2.55,2.58,2.55,2.57,187169,ACB
2015-03-31,2.57,2.58,2.55,2.55,57640,ACB
2015-04-01,2.55,2.57,2.52,2.52,252663,ACB
2015-04-02,2.52,2.57,2.52,2.54,159003,ACB
2015-04-03,2.54,2.57,2.52,2.57,51215,ACB
2015-04-06,2.57,2.57,2.55,2.57,4952,ACB
2015-04-07,2.57,2.57,2.54,2.55,46793,ACB
2015-04-08,2.54,2.55,2.54,2.54,60778,ACB
2015-04-09,2.54,2.54,2.51,2.52,153488,ACB
2015-04-10,2.52,2.55,2.52,2.54,26605,ACB
2015-04-13,2.55,2.55,2.54,2.54,36940,ACB
2015-04-14,2.52,2.54,2.51,2.54,57719,ACB
2015-04-15,2.52,2.54,2.51,2.52,42101,ACB
2015-04-16,2.52,2.54,2.49,2.52,82523,ACB
2015-04-17,2.52,2.54,2.51,2.54,36935,ACB
2015-04-20,2.52,2.54,2.51,2.52,44975,ACB
2015-04-21,2.52,2.52,2.49,2.49,52353,ACB
