time,open,high,low,close,volume,symbol
2014-07-09,50.95,51.4,50.49,50.95,137790,GAS
2014-07-10,50.95,50.95,49.57,50.49,222070,GAS
2014-07-11,50.49,50.95,50.03,50.03,105000,GAS
2014-07-14,50.03,50.49,49.57,50.49,224460,GAS
2014-07-15,50.49,50.49,50.03,50.49,287530,GAS
2014-07-16,50.95,50.95,50.03,50.03,311650,GAS
2014-07-17,50.03,50.49,49.57,50.49,213390,GAS
2014-07-18,50.49,50.95,49.57,50.49,331590,GAS
2014-07-21,50.49,52.32,50.49,51.86,635080,GAS
2014-07-22,51.4,51.86,50.95,51.86,138210,GAS
2014-07-23,51.86,51.86,50.95,51.86,110210,GAS
2014-07-24,51.86,52.32,51.4,52.32,342860,GAS
2014-07-25,52.78,53.24,52.32,52.32,309050,GAS
2014-07-28,52.32,52.32,50.95,50.95,251480,GAS
2014-07-29,50.95,50.95,50.03,50.95,175610,GAS
2014-07-30,50.95,51.4,50.49,50.95,234950,GAS
2014-07-31,50.49,51.86,50.49,51.86,324370,GAS
2014-08-01,51.4,51.86,50.95,50.95,187550,GAS
2014-08-04,50.95,52.32,50.49,51.4,343060,GAS
2014-08-05,52.32,54.16,51.4,53.7,697740,GAS
2014-08-06,53.7,54.16,53.24,53.24,328170,GAS
2014-08-07,52.78,53.7,52.78,53.24,224470,GAS
2014-08-08,53.7,54.16,53.24,53.24,452320,GAS
2014-08-11,52.78,53.7,52.32,53.24,120980,GAS
2014-08-12,52.78,53.24,52.32,52.78,227260,GAS
2014-08-13,52.32,52.78,51.86,51.86,459470,GAS
2014-08-14,52.32,52.78,51.86,51.86,216710,GAS
2014-08-15,52.32,52.78,51.86,52.32,166170,GAS
2014-08-18,52.32,52.78,51.86,52.32,334370,GAS
2014-08-19,52.78,53.7,52.32,52.78,450670,GAS
2014-08-20,53.24,53.24,52.32,53.24,283430,GAS
2014-08-21,53.7,55.08,53.7,54.16,1012490,GAS
2014-08-22,54.62,56.45,54.62,55.99,619580,GAS
2014-08-25,55.99,57.83,55.99,56.91,422060,GAS
2014-08-26,56.45,56.91,55.53,56.45,410940,GAS
2014-08-27,56.45,56.91,55.53,56.45,223360,GAS
2014-08-28,55.99,58.75,55.99,57.83,427920,GAS
2014-08-29,58.29,58.75,56.91,56.91,459860,GAS
2014-09-03,57.37,57.83,56.91,57.37,326560,GAS
2014-09-04,57.37,57.83,56.91,57.37,266790,GAS
2014-09-05,57.37,57.37,56.45,56.45,232450,GAS
2014-09-08,56.91,56.91,55.99,56.45,227340,GAS
2014-09-09,56.45,56.91,54.62,55.08,353170,GAS
2014-09-10,55.08,55.53,54.16,55.53,116600,GAS
2014-09-11,55.53,56.91,55.08,55.53,214430,GAS
2014-09-12,55.53,55.99,55.08,55.53,147190,GAS
2014-09-15,55.53,56.91,55.53,55.53,290250,GAS
2014-09-16,55.08,55.99,55.08,55.08,293900,GAS
2014-09-17,55.08,55.99,54.62,54.62,288040,GAS
