time,open,high,low,close,volume,symbol
2018-03-21,12.96,12.96,8.46,9.41,515800,GVR
2018-03-22,9.5,9.76,8.81,9.41,260800,GVR
2018-03-23,9.16,9.16,8.64,9.07,111800,GVR
2018-03-26,8.81,9.07,8.81,8.9,267800,GVR
2018-03-27,9.33,9.5,9.07,9.41,52200,GVR
2018-03-28,9.41,10.19,9.33,9.93,139800,GVR
2018-03-29,10.11,10.62,9.85,10.28,587200,GVR
2018-03-30,10.71,11.23,9.76,10.62,540800,GVR
2018-04-02,10.8,11.23,10.8,11.14,348000,GVR
2018-04-03,11.14,11.23,10.8,10.88,421300,GVR
2018-04-04,11.06,11.06,10.36,10.36,216100,GVR
2018-04-05,10.54,10.71,9.67,9.76,166200,GVR
2018-04-06,10.19,10.19,9.5,9.59,165600,GVR
2018-04-09,9.33,9.33,9.16,9.33,78200,GVR
2018-04-10,9.16,9.67,9.07,9.59,102000,GVR
2018-04-11,9.33,9.67,8.98,9.16,332300,GVR
2018-04-12,9.16,9.41,8.98,9.41,192400,GVR
2018-04-13,9.5,9.5,9.16,9.16,81100,GVR
2018-04-16,9.16,9.24,9.07,9.07,102600,GVR
2018-04-17,8.98,9.33,8.98,9.33,159800,GVR
2018-04-18,9.33,9.41,9.16,9.24,83800,GVR
2018-04-19,9.16,9.24,8.98,9.24,165400,GVR
2018-04-20,9.16,9.24,8.98,9.16,76100,GVR
2018-04-23,9.16,9.16,8.81,9.16,211500,GVR
2018-04-24,8.64,8.98,8.64,8.9,21100,GVR
2018-04-26,8.81,8.9,8.64,8.64,102600,GVR
2018-04-27,8.81,8.9,8.64,8.72,82200,GVR
2018-05-02,8.64,8.64,8.64,8.64,59200,GVR
2018-05-03,9.24,9.24,8.64,9.07,56200,GVR
2018-05-04,8.64,8.98,8.64,8.9,5500,GVR
2018-05-07,8.9,8.98,8.64,8.72,130900,GVR
2018-05-08,8.64,8.9,8.55,8.64,98300,GVR
2018-05-09,8.64,8.72,8.55,8.72,166300,GVR
2018-05-10,8.55,8.81,8.46,8.64,122500,GVR
2018-05-11,8.64,8.64,8.46,8.55,155800,GVR
2018-05-14,8.55,8.55,8.29,8.55,122000,GVR
2018-05-15,8.55,8.64,8.38,8.64,111100,GVR
