time,open,high,low,close,volume,symbol
2014-07-09,2.29,2.29,2.27,2.27,829520,MBB
2014-07-10,2.27,2.27,2.23,2.26,1341170,MBB
2014-07-11,2.26,2.26,2.23,2.26,656130,MBB
2014-07-14,2.26,2.26,2.24,2.26,192510,MBB
2014-07-15,2.29,2.29,2.26,2.27,2059270,MBB
2014-07-16,2.31,2.31,2.27,2.27,3648470,MBB
2014-07-17,2.27,2.27,2.26,2.26,789300,MBB
2014-07-18,2.26,2.27,2.24,2.27,1117290,MBB
2014-07-21,2.27,2.27,2.26,2.26,1119410,MBB
2014-07-22,2.26,2.26,2.24,2.24,621310,MBB
2014-07-23,2.26,2.26,2.24,2.26,1360370,MBB
2014-07-24,2.24,2.27,2.24,2.24,802810,MBB
2014-07-25,2.26,2.27,2.24,2.24,878970,MBB
2014-07-28,2.24,2.26,2.19,2.21,1671430,MBB
2014-07-29,2.19,2.23,2.19,2.21,1431610,MBB
2014-07-30,2.21,2.23,2.18,2.19,700320,MBB
2014-07-31,2.19,2.21,2.19,2.21,500800,MBB
2014-08-01,2.21,2.21,2.18,2.19,685330,MBB
2014-08-04,2.19,2.21,2.18,2.19,534420,MBB
2014-08-05,2.21,2.23,2.19,2.23,496230,MBB
2014-08-06,2.23,2.24,2.21,2.21,1214560,MBB
2014-08-07,2.21,2.24,2.21,2.24,487940,MBB
2014-08-08,2.24,2.24,2.23,2.23,705790,MBB
2014-08-11,2.23,2.24,2.21,2.24,1010680,MBB
2014-08-12,2.23,2.24,2.23,2.24,855180,MBB
2014-08-13,2.23,2.24,2.21,2.23,1092510,MBB
2014-08-14,2.23,2.24,2.21,2.24,1775270,MBB
2014-08-15,2.23,2.24,2.23,2.23,860100,MBB
2014-08-18,2.23,2.23,2.21,2.23,1048380,MBB
2014-08-19,2.23,2.26,2.23,2.23,1511720,MBB
2014-08-20,2.23,2.24,2.23,2.24,896570,MBB
2014-08-21,2.24,2.26,2.23,2.23,1256740,MBB
2014-08-22,2.24,2.26,2.23,2.24,915930,MBB
2014-08-25,2.26,2.27,2.24,2.26,1591520,MBB
2014-08-26,2.26,2.26,2.24,2.26,1441620,MBB
2014-08-27,2.26,2.26,2.24,2.24,1066870,MBB
2014-08-28,2.24,2.26,2.23,2.26,879100,MBB
2014-08-29,2.26,2.32,2.24,2.27,2305480,MBB
2014-09-03,2.32,2.36,2.31,2.32,2041490,MBB
2014-09-04,2.31,2.32,2.29,2.31,1161280,MBB
2014-09-05,2.31,2.32,2.29,2.31,1062560,MBB
2014-09-08,2.32,2.32,2.29,2.29,1400480,MBB
2014-09-09,2.29,2.31,2.24,2.26,3348570,MBB
2014-09-10,2.29,2.31,2.26,2.29,1992660,MBB
2014-09-11,2.29,2.31,2.28,2.29,648110,MBB
2014-09-12,2.28,2.31,2.28,2.29,1193580,MBB
2014-09-15,2.29,2.31,2.28,2.28,692730,MBB
2014-09-16,2.28,2.28,2.24,2.28,1272580,MBB
2014-09-17,2.28,2.29,2.28,2.29,1661530,MBB
2014-09-18,2.28,2.29,2.26,2.28,1172170,MBB
2014-09-19,2.26,2.28,2.24,2.26,587840,MBB
2014-09-22,2.26,2.28,2.24,2.24,385040,MBB
2014-09-23,2.24,2.28,2.24,2.26,594530,MBB
2014-09-24,2.26,2.28,2.26,2.28,399700,MBB
2014-09-25,2.26,2.28,2.26,2.28,924500,MBB
2014-09-26,2.28,2.29,2.26,2.28,743090,MBB
2014-09-29,2.28,2.29,2.26,2.26,720550,MBB
2014-09-30,2.26,2.29,2.26,2.28,506940,MBB
2014-10-01,2.28,2.29,2.26,2.28,1116460,MBB
2014-10-02,2.28,2.31,2.28,2.29,1497020,MBB
2014-10-03,2.29,2.31,2.28,2.28,951560,MBB
2014-10-06,2.29,2.33,2.28,2.31,1210030,MBB
2014-10-07,2.31,2.33,2.29,2.29,244930,MBB
2014-10-08,2.29,2.31,2.28,2.29,850870,MBB
2014-10-09,2.31,2.31,2.28,2.29,506090,MBB
2014-10-10,2.29,2.29,2.28,2.29,390090,MBB
2014-10-13,2.33,2.36,2.31,2.34,3493510,MBB
2014-10-14,2.36,2.36,2.31,2.31,709110,MBB
2014-10-15,2.31,2.34,2.31,2.34,1238560,MBB
2014-10-16,2.33,2.33,2.29,2.33,1622410,MBB
2014-10-17,2.31,2.34,2.28,2.34,1417160,MBB
2014-10-20,2.33,2.34,2.31,2.31,669830,MBB
2014-10-21,2.33,2.34,2.31,2.33,687720,MBB
2014-10-22,2.34,2.36,2.33,2.33,1330620,MBB
2014-10-23,2.33,2.34,2.31,2.31,950980,MBB
2014-10-24,2.31,2.33,2.31,2.33,684000,MBB
2014-10-27,2.31,2.33,2.29,2.33,880090,MBB
2014-10-28,2.31,2.33,2.31,2.33,965920,MBB
2014-10-29,2.38,2.38,2.31,2.36,693260,MBB
2014-10-30,2.36,2.36,2.31,2.31,1607720,MBB
2014-10-31,2.31,2.34,2.29,2.34,1745330,MBB
2014-11-03,2.34,2.34,2.33,2.33,567520,MBB
2014-11-04,2.33,2.33,2.31,2.33,157210,MBB
2014-11-05,2.33,2.33,2.29,2.31,382670,MBB
2014-11-06,2.31,2.33,2.29,2.31,282990,MBB
2014-11-07,2.31,2.34,2.29,2.33,771530,MBB
