time,open,high,low,close,volume,symbol
2014-07-09,47.87,48.39,47.61,48.13,245550,MSN
2014-07-10,48.13,48.13,47.1,47.61,206000,MSN
2014-07-11,47.61,47.61,46.84,47.1,175810,MSN
2014-07-14,47.1,47.36,46.84,46.84,134220,MSN
2014-07-15,47.1,47.36,46.84,46.84,170690,MSN
2014-07-16,47.36,47.61,46.58,47.36,128360,MSN
2014-07-17,47.1,47.87,47.1,47.36,81430,MSN
2014-07-18,47.61,47.87,47.61,47.87,239000,MSN
2014-07-21,47.87,47.87,47.1,47.36,170140,MSN
2014-07-22,47.61,47.61,46.84,47.1,137860,MSN
2014-07-23,47.36,47.36,47.1,47.1,46210,MSN
2014-07-24,47.1,47.87,47.1,47.36,147440,MSN
2014-07-25,47.36,47.61,46.58,46.58,296770,MSN
2014-07-28,46.58,46.58,45.81,46.07,104340,MSN
2014-07-29,46.07,46.84,45.81,46.84,80750,MSN
2014-07-30,46.33,46.84,45.04,45.55,532220,MSN
2014-07-31,45.3,46.07,45.3,45.81,198320,MSN
2014-08-01,45.81,45.81,45.04,45.55,69140,MSN
2014-08-04,45.04,45.55,45.04,45.3,88690,MSN
2014-08-05,45.3,45.81,45.04,45.3,435700,MSN
2014-08-06,45.55,46.58,45.3,45.55,1210150,MSN
2014-08-07,45.3,45.81,45.04,45.04,245360,MSN
2014-08-08,45.04,45.81,44.78,45.55,207960,MSN
2014-08-11,45.04,45.55,44.52,44.52,416620,MSN
2014-08-12,44.52,44.78,43.5,44.27,522720,MSN
2014-08-13,44.27,44.52,43.75,44.01,198470,MSN
2014-08-14,44.52,44.52,44.01,44.27,317820,MSN
2014-08-15,43.75,44.01,42.72,42.72,482010,MSN
2014-08-18,42.98,43.75,42.47,42.72,283000,MSN
2014-08-19,42.98,42.98,41.95,42.21,553680,MSN
2014-08-20,42.21,43.24,42.21,42.72,364730,MSN
2014-08-21,42.72,43.5,42.72,43.5,334290,MSN
2014-08-22,43.5,44.27,43.24,44.01,555690,MSN
2014-08-25,44.01,44.27,43.75,44.01,432620,MSN
2014-08-26,43.75,44.01,43.24,43.5,234820,MSN
2014-08-27,43.5,43.75,42.72,42.98,235940,MSN
2014-08-28,42.98,43.24,42.72,42.98,81470,MSN
2014-08-29,42.98,43.75,42.98,43.75,149840,MSN
2014-09-03,44.27,44.27,43.75,43.75,261620,MSN
2014-09-04,43.75,44.01,43.5,43.75,236530,MSN
2014-09-05,43.24,43.5,42.47,43.24,371700,MSN
2014-09-08,43.5,43.5,42.98,43.24,178170,MSN
2014-09-09,42.98,43.24,42.72,42.98,160630,MSN
2014-09-10,42.98,42.98,42.21,42.72,203810,MSN
2014-09-11,42.72,42.72,42.47,42.72,123790,MSN
2014-09-12,42.72,42.98,42.47,42.72,201680,MSN
2014-09-15,42.98,43.5,42.72,42.98,368760,MSN
2014-09-16,42.98,43.24,42.72,42.72,88800,MSN
2014-09-17,42.98,42.98,42.47,42.47,164070,MSN
2014-09-18,42.47,43.75,42.47,42.72,191230,MSN
2014-09-19,43.24,43.24,42.72,43.24,1451540,MSN
2014-09-22,42.98,42.98,42.47,42.47,67670,MSN
2014-09-23,42.72,42.98,42.47,42.47,84720,MSN
2014-09-24,42.47,42.98,42.47,42.72,283660,MSN
2014-09-25,42.72,42.98,41.95,42.98,151010,MSN
2014-09-26,43.24,43.24,42.47,42.47,51470,MSN
2014-09-29,42.47,42.72,41.95,41.95,52180,MSN
2014-09-30,42.21,42.47,41.95,42.21,78700,MSN
2014-10-01,42.72,43.24,42.47,42.72,179570,MSN
2014-10-02,42.72,42.72,42.21,42.21,92420,MSN
2014-10-03,42.21,42.47,41.95,42.21,93820,MSN
2014-10-06,42.21,42.47,41.95,42.47,100130,MSN
2014-10-07,42.21,42.47,41.95,42.21,42820,MSN
2014-10-08,42.21,42.47,41.95,42.21,83660,MSN
2014-10-09,42.21,42.47,41.95,42.21,28940,MSN
2014-10-10,42.21,42.47,41.95,41.95,144170,MSN
2014-10-13,41.95,42.21,41.69,41.69,73360,MSN
2014-10-14,41.69,41.69,41.18,41.69,160960,MSN
2014-10-15,41.18,41.69,40.92,41.69,188930,MSN
2014-10-16,41.18,41.18,40.41,40.66,334340,MSN
2014-10-17,40.41,40.66,38.09,40.41,586840,MSN
2014-10-20,39.89,41.18,39.12,40.92,300730,MSN
2014-10-21,40.92,41.44,40.66,41.18,613020,MSN
2014-10-22,41.18,41.44,40.92,41.18,304340,MSN
2014-10-23,41.18,41.18,40.66,41.18,207050,MSN
2014-10-24,40.66,41.18,40.66,41.18,249330,MSN
2014-10-27,41.18,41.18,40.41,40.41,145680,MSN
2014-10-28,40.15,40.66,40.15,40.41,111910,MSN
2014-10-29,40.15,40.92,40.15,40.66,103270,MSN
2014-10-30,40.92,41.18,40.66,40.66,127350,MSN
2014-10-31,40.92,41.95,40.66,41.95,292410,MSN
2014-11-03,42.21,42.21,41.95,41.95,95290,MSN
2014-11-04,41.69,42.21,41.18,41.18,35710,MSN
2014-11-05,41.69,42.21,41.69,41.69,309850,MSN
2014-11-06,41.69,42.21,41.69,42.21,141040,MSN
2014-11-07,42.47,44.01,41.95,44.01,384920,MSN
2014-11-10,43.75,45.3,43.75,44.01,521440,MSN
2014-11-11,43.75,44.01,42.98,42.98,90020,MSN
2014-11-12,42.98,43.5,42.72,42.72,78550,MSN
2014-11-13,42.98,42.98,42.47,42.47,78560,MSN
2014-11-14,42.47,42.98,42.47,42.98,88410,MSN
2014-11-17,42.98,43.5,42.98,43.24,35080,MSN
2014-11-18,43.24,43.24,41.69,41.69,101830,MSN
2014-11-19,41.69,42.47,41.18,41.18,108230,MSN
2014-11-20,41.95,41.95,41.18,41.44,46100,MSN
2014-11-21,41.44,42.47,41.44,42.21,72010,MSN
2014-11-24,41.44,41.69,40.92,40.92,85930,MSN
2014-11-25,41.44,42.47,41.18,42.47,153690,MSN
2014-11-26,42.47,43.24,42.21,42.47,346860,MSN
2014-11-27,41.95,42.21,41.18,41.69,51270,MSN
2014-11-28,41.69,42.21,41.44,41.44,59820,MSN
2014-12-01,42.21,42.21,41.44,42.21,219510,MSN
2014-12-02,41.69,42.21,41.44,41.44,59090,MSN
2014-12-03,41.44,41.95,41.44,41.44,18960,MSN
2014-12-04,41.95,41.95,41.69,41.69,55090,MSN
2014-12-05,41.95,42.72,41.69,42.47,154990,MSN
2014-12-08,42.21,43.75,42.21,43.5,315560,MSN
2014-12-09,43.5,44.52,43.24,43.5,516420,MSN
2014-12-10,43.5,43.75,42.98,43.24,121240,MSN
2014-12-11,42.72,43.24,41.69,41.69,377890,MSN
2014-12-12,42.21,42.47,41.69,41.95,53060,MSN
2014-12-15,41.95,43.24,41.95,41.95,194120,MSN
2014-12-16,42.21,42.21,41.44,41.69,80450,MSN
2014-12-17,41.44,41.69,40.66,40.66,341360,MSN
2014-12-18,40.66,40.66,40.15,40.66,504280,MSN
2014-12-19,39.89,40.15,38.61,39.89,2619470,MSN
2014-12-22,40.41,41.18,40.15,41.18,59610,MSN
2014-12-23,41.18,42.21,41.18,41.95,57520,MSN
2014-12-24,42.21,42.98,42.21,42.98,212470,MSN
2014-12-25,42.47,42.98,42.21,42.47,5910,MSN
2014-12-26,42.21,42.47,41.69,41.69,69930,MSN
2014-12-29,42.21,42.21,41.69,42.21,23890,MSN
2014-12-30,41.69,42.47,41.69,41.69,14610,MSN
2014-12-31,41.69,42.98,41.69,42.72,166240,MSN
2015-01-05,43.24,43.5,42.98,42.98,104510,MSN
2015-01-06,43.24,43.75,42.72,43.5,165250,MSN
2015-01-07,43.24,43.75,43.24,43.5,120290,MSN
2015-01-08,43.5,43.75,43.24,43.5,134780,MSN
2015-01-09,43.5,43.75,43.24,43.5,296010,MSN
2015-01-12,43.5,44.27,43.5,44.01,328310,MSN
2015-01-13,44.01,44.27,43.75,44.01,45490,MSN
2015-01-14,44.01,44.01,43.5,43.75,40770,MSN
2015-01-15,43.5,43.5,42.72,43.5,147100,MSN
2015-01-16,42.72,43.75,42.72,43.75,118180,MSN
2015-01-19,43.75,43.75,42.98,43.75,13290,MSN
2015-01-20,43.75,44.01,42.98,42.98,45150,MSN
2015-01-21,43.24,43.24,42.72,42.72,22090,MSN
2015-01-22,42.98,42.98,42.47,42.98,58600,MSN
2015-01-23,42.98,43.24,42.98,42.98,10850,MSN
2015-01-26,42.98,43.5,42.98,42.98,30360,MSN
2015-01-27,42.98,43.24,42.47,42.72,81070,MSN
2015-01-28,42.98,42.98,42.21,42.98,46550,MSN
2015-01-29,42.98,42.98,42.47,42.47,10820,MSN
2015-01-30,42.72,43.24,42.47,43.24,34570,MSN
2015-02-02,43.24,43.24,42.47,42.47,67020,MSN
