time,open,high,low,close,volume,symbol
2018-03-06,13.8,14.43,13.25,14.03,14922100,POW
2018-03-07,14.35,14.35,13.01,13.25,7174392,POW
2018-03-08,13.56,13.8,13.17,13.56,6824944,POW
2018-03-09,13.48,13.88,13.48,13.8,5309486,POW
2018-03-12,13.95,13.95,13.56,13.64,4343745,POW
2018-03-13,13.64,13.72,13.48,13.56,4454169,POW
2018-03-14,13.56,13.64,13.32,13.4,4455422,POW
2018-03-15,13.48,13.48,13.09,13.17,3704865,POW
2018-03-16,13.17,13.56,13.17,13.48,3923430,POW
2018-03-19,13.56,13.64,13.25,13.4,2652660,POW
2018-03-20,13.4,13.4,13.17,13.17,2469883,POW
2018-03-21,13.4,13.4,13.17,13.17,1929052,POW
2018-03-22,13.25,13.25,12.61,12.85,3131060,POW
2018-03-23,12.61,12.77,12.3,12.69,3356387,POW
2018-03-26,12.61,12.61,12.3,12.38,1932826,POW
2018-03-27,12.38,12.46,12.3,12.3,1055477,POW
2018-03-28,12.3,12.38,12.22,12.3,1694196,POW
2018-03-29,12.38,13.09,12.3,12.77,2103906,POW
2018-03-30,12.85,13.17,12.77,13.09,2354364,POW
2018-04-02,13.09,13.25,12.93,13.09,2577643,POW
2018-04-03,13.09,13.09,12.61,12.77,2257070,POW
2018-04-04,13.01,13.32,12.77,12.93,2402101,POW
2018-04-05,13.01,13.09,12.69,12.77,1725227,POW
2018-04-06,12.77,12.85,12.54,12.69,1731257,POW
2018-04-09,12.69,12.69,12.38,12.61,1733995,POW
2018-04-10,12.54,12.69,12.38,12.54,1485078,POW
2018-04-11,12.54,12.61,12.06,12.3,2053300,POW
2018-04-12,12.3,12.38,12.22,12.38,977010,POW
2018-04-13,12.3,12.38,12.06,12.3,1503780,POW
2018-04-16,12.38,12.54,12.06,12.22,1698800,POW
2018-04-17,12.22,12.3,12.06,12.3,742496,POW
2018-04-18,12.3,12.3,11.83,11.9,1683810,POW
2018-04-19,11.98,11.98,11.43,11.51,2236680,POW
2018-04-20,11.43,11.59,11.2,11.51,1461117,POW
2018-04-23,11.59,11.67,10.56,11.2,859630,POW
2018-04-24,11.2,11.27,10.8,10.88,1109190,POW
2018-04-26,11.35,11.43,10.64,10.72,2116175,POW
2018-04-27,10.88,10.88,10.56,10.72,1100812,POW
2018-05-02,10.72,11.2,10.56,10.64,1171176,POW
2018-05-03,10.72,10.72,10.17,10.49,1736969,POW
2018-05-04,10.41,10.64,10.41,10.56,976440,POW
2018-05-07,10.88,11.9,10.72,11.35,1944203,POW
2018-05-08,11.51,11.51,11.2,11.35,1537398,POW
2018-05-09,11.35,11.75,11.2,11.2,1083060,POW
2018-05-10,11.2,11.27,10.8,10.8,1152051,POW
2018-05-11,10.88,11.12,10.8,11.04,819030,POW
2018-05-14,11.04,11.2,10.88,11.12,623290,POW
2018-05-15,10.88,11.51,10.88,11.35,1895181,POW
2018-05-16,11.43,11.51,11.27,11.43,693830,POW
2018-05-17,11.43,11.51,11.27,11.43,1184478,POW
2018-05-18,11.43,11.83,11.35,11.67,1976452,POW
2018-05-21,11.67,11.83,11.35,11.51,3160750,POW
2018-05-22,11.35,11.43,10.72,11.04,1429020,POW
