time,open,high,low,close,volume,symbol
2014-07-04,2.53,2.53,2.45,2.48,4113877,SHB
2014-07-07,2.48,2.51,2.45,2.45,2416262,SHB
2014-07-08,2.45,2.51,2.4,2.51,6491812,SHB
2014-07-09,2.53,2.56,2.48,2.48,2758763,SHB
2014-07-10,2.48,2.51,2.43,2.43,4030699,SHB
2014-07-11,2.43,2.45,2.4,2.45,2377123,SHB
2014-07-14,2.45,2.45,2.4,2.43,1721125,SHB
2014-07-15,2.19,2.45,2.19,2.43,924482,SHB
2014-07-16,2.45,2.51,2.43,2.43,4305816,SHB
2014-07-17,2.45,2.45,2.4,2.43,1188928,SHB
2014-07-18,2.43,2.45,2.4,2.45,2918856,SHB
2014-07-21,2.45,2.48,2.43,2.43,2679039,SHB
2014-07-22,2.4,2.45,2.4,2.4,1728105,SHB
2014-07-23,2.43,2.43,2.37,2.37,1690567,SHB
2014-07-24,2.4,2.4,2.35,2.37,2698348,SHB
2014-07-25,2.4,2.4,2.35,2.35,1566653,SHB
2014-07-28,2.37,2.37,2.27,2.29,4102326,SHB
2014-07-29,2.32,2.32,2.27,2.29,1365028,SHB
2014-07-30,2.29,2.32,2.27,2.32,1490594,SHB
2014-07-31,2.32,2.35,2.29,2.35,2279876,SHB
2014-08-01,2.35,2.35,2.29,2.32,2289005,SHB
2014-08-04,2.32,2.35,2.29,2.32,1473465,SHB
2014-08-05,2.32,2.37,2.32,2.35,2105707,SHB
2014-08-06,2.35,2.37,2.32,2.35,2085488,SHB
2014-08-07,2.35,2.37,2.32,2.37,1319750,SHB
2014-08-08,2.37,2.43,2.37,2.4,3051450,SHB
2014-08-11,2.43,2.43,2.37,2.37,974783,SHB
2014-08-12,2.37,2.4,2.35,2.35,690591,SHB
2014-08-13,2.35,2.4,2.35,2.37,1472411,SHB
2014-08-14,2.37,2.45,2.37,2.4,2987327,SHB
2014-08-15,2.4,2.43,2.37,2.4,1708254,SHB
2014-08-18,2.4,2.43,2.37,2.4,3642396,SHB
2014-08-19,2.4,2.43,2.37,2.37,2023150,SHB
2014-08-20,2.4,2.4,2.35,2.37,1798671,SHB
2014-08-21,2.37,2.4,2.37,2.37,2626665,SHB
2014-08-22,2.4,2.43,2.35,2.37,3675234,SHB
2014-08-25,2.37,2.48,2.37,2.45,6647429,SHB
2014-08-26,2.61,2.61,2.43,2.48,10905879,SHB
2014-08-27,2.72,2.72,2.45,2.45,4343922,SHB
2014-08-28,2.45,2.48,2.43,2.45,4338460,SHB
2014-08-29,2.45,2.56,2.43,2.53,9719139,SHB
2014-09-03,2.53,2.67,2.53,2.59,9449936,SHB
2014-09-04,2.59,2.61,2.56,2.61,3879179,SHB
2014-09-05,2.59,2.61,2.59,2.61,5408769,SHB
2014-09-08,2.61,2.64,2.59,2.59,6398252,SHB
2014-09-09,2.61,2.61,2.51,2.51,13029876,SHB
2014-09-10,2.51,2.53,2.45,2.53,8392169,SHB
2014-09-11,2.53,2.53,2.48,2.51,2850009,SHB
2014-09-12,2.51,2.53,2.51,2.51,4028844,SHB
2014-09-15,2.51,2.53,2.45,2.45,6588936,SHB
2014-09-16,2.45,2.48,2.43,2.48,5167977,SHB
2014-09-17,2.48,2.53,2.48,2.48,3354924,SHB
2014-09-18,2.48,2.53,2.45,2.48,5344084,SHB
2014-09-19,2.48,2.48,2.43,2.43,7794367,SHB
2014-09-22,2.4,2.48,2.4,2.43,2149672,SHB
2014-09-23,2.43,2.48,2.43,2.45,3028279,SHB
2014-09-24,2.45,2.45,2.43,2.43,3186111,SHB
2014-09-25,2.43,2.45,2.4,2.45,1376579,SHB
2014-09-26,2.45,2.48,2.43,2.43,2365696,SHB
2014-09-29,2.45,2.45,2.43,2.43,1414451,SHB
2014-09-30,2.43,2.45,2.4,2.45,3267454,SHB
2014-10-01,2.45,2.48,2.43,2.45,8647474,SHB
2014-10-02,2.45,2.45,2.43,2.45,4178900,SHB
2014-10-03,2.45,2.48,2.43,2.45,5020365,SHB
2014-10-06,2.45,2.53,2.43,2.48,7313065,SHB
2014-10-07,2.48,2.51,2.45,2.48,3086059,SHB
2014-10-08,2.48,2.53,2.45,2.48,7716220,SHB
2014-10-09,2.51,2.56,2.51,2.51,10210122,SHB
2014-10-10,2.53,2.53,2.45,2.48,3702718,SHB
2014-10-13,2.48,2.48,2.43,2.43,7248815,SHB
2014-10-14,2.43,2.45,2.4,2.4,4133221,SHB
2014-10-15,2.4,2.4,2.35,2.37,5587358,SHB
2014-10-16,2.35,2.4,2.29,2.29,9333836,SHB
2014-10-17,2.29,2.35,2.27,2.32,2409310,SHB
2014-10-20,2.35,2.37,2.32,2.32,1459394,SHB
2014-10-21,2.35,2.35,2.32,2.35,1770696,SHB
2014-10-22,2.35,2.37,2.32,2.35,1002208,SHB
2014-10-23,2.35,2.35,2.29,2.29,1699020,SHB
2014-10-24,2.29,2.32,2.27,2.29,2015873,SHB
2014-10-27,2.29,2.32,2.21,2.21,2773334,SHB
2014-10-28,2.21,2.27,2.19,2.24,2600652,SHB
2014-10-29,2.24,2.27,2.24,2.27,1269311,SHB
2014-10-30,2.27,2.29,2.27,2.29,647770,SHB
2014-10-31,2.29,2.35,2.27,2.32,2932168,SHB
2014-11-03,2.35,2.37,2.32,2.32,1961163,SHB
2014-11-04,2.32,2.35,2.29,2.32,674094,SHB
2014-11-05,2.32,2.32,2.27,2.29,1169639,SHB
2014-11-06,2.29,2.35,2.29,2.35,1468257,SHB
2014-11-07,2.35,2.35,2.32,2.32,553136,SHB
2014-11-10,2.32,2.35,2.29,2.29,804700,SHB
