time,open,high,low,close,volume,symbol
2014-07-09,5.53,5.55,5.47,5.47,2058030,SSI
2014-07-10,5.47,5.47,5.32,5.32,5107210,SSI
2014-07-11,5.32,5.36,5.26,5.3,3134370,SSI
2014-07-14,5.32,5.36,5.26,5.36,1679680,SSI
2014-07-15,5.43,5.47,5.39,5.41,2572850,SSI
2014-07-16,5.53,5.53,5.39,5.39,2898420,SSI
2014-07-17,5.41,5.43,5.34,5.39,1422850,SSI
2014-07-18,5.36,5.49,5.36,5.49,3102600,SSI
2014-07-21,5.57,5.59,5.45,5.49,4099220,SSI
2014-07-22,5.49,5.49,5.41,5.43,2351760,SSI
2014-07-23,5.43,5.47,5.39,5.43,1681730,SSI
2014-07-24,5.45,5.45,5.41,5.43,1568860,SSI
2014-07-25,5.43,5.51,5.36,5.36,2709440,SSI
2014-07-28,5.32,5.32,5.16,5.22,3705580,SSI
2014-07-29,5.24,5.24,5.14,5.18,1686060,SSI
2014-07-30,5.18,5.22,5.12,5.14,2405300,SSI
2014-07-31,5.12,5.24,5.12,5.2,1224460,SSI
2014-08-01,5.18,5.18,5.12,5.14,1648540,SSI
2014-08-04,5.12,5.26,5.1,5.24,2035280,SSI
2014-08-05,5.24,5.36,5.24,5.36,2607020,SSI
2014-08-06,5.41,5.43,5.36,5.36,3231030,SSI
2014-08-07,5.34,5.43,5.32,5.43,2599100,SSI
2014-08-08,5.43,5.47,5.34,5.36,1962960,SSI
2014-08-11,5.36,5.39,5.32,5.32,1783140,SSI
2014-08-12,5.32,5.41,5.32,5.36,1790560,SSI
2014-08-13,5.39,5.47,5.36,5.45,2031610,SSI
2014-08-14,5.49,5.51,5.43,5.45,2593540,SSI
2014-08-15,5.45,5.47,5.41,5.41,1371270,SSI
2014-08-18,5.41,5.65,5.41,5.65,7017230,SSI
2014-08-19,5.69,5.75,5.61,5.61,4224020,SSI
2014-08-20,5.67,5.73,5.63,5.67,2979180,SSI
2014-08-21,5.67,5.82,5.67,5.73,6204670,SSI
2014-08-22,5.79,5.82,5.71,5.71,3071690,SSI
2014-08-25,5.75,5.84,5.73,5.77,4351670,SSI
2014-08-26,5.79,5.84,5.73,5.75,3990850,SSI
2014-08-27,5.75,5.84,5.71,5.77,3152840,SSI
2014-08-28,5.79,5.94,5.79,5.94,4939770,SSI
2014-08-29,5.96,6.0,5.88,5.94,2768250,SSI
2014-09-03,6.02,6.04,5.9,5.9,3524920,SSI
2014-09-04,5.88,5.94,5.84,5.88,3256220,SSI
2014-09-05,5.92,5.96,5.88,5.94,2327930,SSI
2014-09-08,6.02,6.08,6.0,6.02,3546470,SSI
2014-09-09,6.02,6.14,5.61,5.86,9774370,SSI
2014-09-10,5.88,5.9,5.75,5.9,4203460,SSI
2014-09-11,6.02,6.06,5.96,5.96,3915980,SSI
2014-09-12,5.94,6.0,5.92,5.98,3211420,SSI
2014-09-15,6.04,6.04,5.92,5.92,4041550,SSI
2014-09-16,5.9,5.94,5.82,5.92,3291780,SSI
2014-09-17,6.1,6.33,6.08,6.33,14441620,SSI
2014-09-18,6.31,6.33,6.06,6.06,6116250,SSI
2014-09-19,6.04,6.12,6.02,6.1,3872980,SSI
2014-09-22,6.12,6.14,5.96,5.96,4417320,SSI
2014-09-23,6.0,6.06,5.96,5.98,4183810,SSI
2014-09-24,6.06,6.08,5.96,6.0,5133470,SSI
2014-09-25,5.98,6.13,5.87,6.11,4587730,SSI
2014-09-26,6.19,6.3,6.13,6.19,6059690,SSI
2014-09-29,6.61,6.61,6.51,6.51,14398490,SSI
2014-09-30,6.45,6.66,6.42,6.55,5954040,SSI
2014-10-01,6.59,6.66,6.55,6.57,3989490,SSI
2014-10-02,6.57,6.72,6.53,6.68,6553350,SSI
2014-10-03,6.7,6.87,6.7,6.72,5683610,SSI
2014-10-06,6.78,6.83,6.72,6.74,3101000,SSI
2014-10-07,6.74,6.76,6.68,6.7,4490500,SSI
2014-10-08,6.68,6.76,6.64,6.66,7047680,SSI
2014-10-09,6.72,6.72,6.59,6.59,3423000,SSI
2014-10-10,6.55,6.57,6.47,6.47,5099600,SSI
2014-10-13,6.49,6.64,6.49,6.57,5541370,SSI
2014-10-14,6.61,6.64,6.4,6.4,3172940,SSI
2014-10-15,6.38,6.42,6.3,6.4,3317490,SSI
