episode,timestamp,total_reward,portfolio_value,total_return_pct,n_trades,total_cost,steps
1,2026-03-13T13:53:39.669540,-0.000972,944945384.04,-5.5055,3200,140302429.96,200
2,2026-03-13T13:53:39.671938,-0.000408,1209871407.61,20.9871,3200,169961591.39,200
3,2026-03-13T13:53:39.672842,-0.001217,941837742.03,-5.8162,3200,145966964.97,200
4,2026-03-13T13:53:39.674413,-0.000385,1398164569.58,39.8165,3200,176102719.42,200
5,2026-03-13T13:53:39.675814,-0.00102,889583584.83,-11.0416,3200,142522701.17,200
6,2026-03-13T13:53:39.676457,-0.001005,796728873.41,-20.3271,3200,142909862.59,200
7,2026-03-13T13:53:39.677522,-0.000857,846257893.35,-15.3742,3200,142575156.65,200
8,2026-03-13T13:53:39.678176,-0.000888,774496225.2,-22.5504,3199,150038538.8,200
9,2026-03-13T13:53:39.679210,-0.000923,927636251.91,-7.2364,3200,142051659.09,200
10,2026-03-13T13:53:39.680893,-0.000149,1191138193.31,19.1138,3200,167778839.69,200
11,2026-03-13T13:54:04.952359,-0.000612,1049449005.34,4.9449,3199,144288037.66,200
12,2026-03-13T13:54:04.953236,-0.000417,1141223372.72,14.1223,3200,168304519.28,200
13,2026-03-13T13:54:04.954012,-0.001452,988030173.28,-1.197,3200,164570238.72,200
14,2026-03-13T13:54:04.954741,-0.001109,771277836.09,-22.8722,3200,137189153.91,200
15,2026-03-13T13:54:04.955253,-0.000415,1204734001.41,20.4734,3200,171048494.59,200
16,2026-03-13T13:54:04.955753,-0.000909,904854640.39,-9.5145,3200,144451341.61,200
17,2026-03-13T13:54:04.956335,-0.00087,1045871202.68,4.5871,3200,189663489.32,200
18,2026-03-13T13:54:04.956961,-0.000161,1124979774.62,12.498,3200,166078734.38,200
19,2026-03-13T13:54:04.957478,-0.000157,1532590082.48,53.259,3200,174027086.52,200
20,2026-03-13T13:54:04.957982,-0.000211,1541234339.32,54.1234,3200,190389602.68,200
21,2026-03-13T13:54:36.120630,-0.00026,962694749.16,-3.7305,3200,147298576.84,200
22,2026-03-13T13:54:36.121492,-0.002431,655407777.03,-34.4592,3200,117003344.97,200
23,2026-03-13T13:54:36.122116,-0.000164,1270362897.15,27.0363,3199,161157607.85,200
24,2026-03-13T13:54:36.122675,-0.000162,1389594058.7,38.9594,3200,167160068.3,200
25,2026-03-13T13:54:36.123219,-0.000165,1309779613.28,30.978,3200,171215425.72,200
26,2026-03-13T13:54:36.123886,-0.000534,923501168.89,-7.6499,3200,145718165.11,200
27,2026-03-13T13:54:36.124428,-0.000151,1449109504.39,44.911,3200,180380570.61,200
28,2026-03-13T13:54:36.124990,-0.000235,1077948143.09,7.7948,3199,155413499.91,200
29,2026-03-13T13:54:36.125558,-0.000606,883538007.29,-11.6462,3199,142959345.71,200
30,2026-03-13T13:54:36.126072,-0.000492,920007974.03,-7.9992,3200,151352855.97,200
31,2026-03-13T13:54:58.750804,-0.000513,859840259.93,-14.016,3200,138571107.07,200
32,2026-03-13T13:54:58.751634,-0.000446,1242609016.73,24.2609,3200,182835128.27,200
33,2026-03-13T13:54:58.752231,-0.001119,1061144150.36,6.1144,3200,148740434.64,200
34,2026-03-13T13:54:58.752901,-0.002048,800082514.63,-19.9917,3198,134912826.37,200
35,2026-03-13T13:54:58.753525,-0.000892,1130629071.51,13.0629,3200,142597645.49,200
36,2026-03-13T13:54:58.754070,-0.001563,881928810.41,-11.8071,3200,150715262.59,200
37,2026-03-13T13:54:58.754586,-0.000196,1545210413.03,54.521,3200,199172649.97,200
38,2026-03-13T13:54:58.755113,-0.00042,1216379930.78,21.638,3200,174487496.22,200
39,2026-03-13T13:54:58.755682,-0.000897,784166384.6,-21.5834,3200,143170777.4,200
40,2026-03-13T13:54:58.756206,-0.001228,818810389.48,-18.119,3200,139138309.52,200
41,2026-03-13T13:55:20.521935,-3.6e-05,973089101.48,-2.6911,3200,150266572.52,200
42,2026-03-13T13:55:20.522684,-0.000501,1067978116.82,6.7978,3200,147649273.18,200
43,2026-03-13T13:55:20.523228,-0.002286,663920331.32,-33.608,3200,122568766.68,200
44,2026-03-13T13:55:20.523693,-0.000137,1480658288.95,48.0658,3200,178870049.05,200
45,2026-03-13T13:55:20.524142,-0.000393,1317114099.01,31.7114,3199,201590657.99,200
